Enzyme1	Enzyme2
IRAK4	ACTR2
ITK	ACTR2
JAK1	ACTR2
JAK2	ACTR2
KIT	ACTR2
KSR1	ACTR2
LATS1	ACTR2
LCK	ACTR2
LIMK1	ACTR2
LIMK2	ACTR2
LRRK1	ACTR2
LTK	ACTR2
LYN	ACTR2
MAP2K1	ACTR2
MAP2K2	ACTR2
MAP2K3	ACTR2
MAP2K4	ACTR2
MAP2K5	ACTR2
MAP2K6	ACTR2
MAP2K7	ACTR2
MAP3K1	ACTR2
MAP3K2	ACTR2
MAP3K3	ACTR2
MAP3K4	ACTR2
MAP3K5	ACTR2
MAP3K7	ACTR2
MAP4K4	ACTR2
MAPKAPK2	ACTR2
MAPKAPK3	ACTR2
MAPKAPK5	ACTR2
MARK2	ACTR2
MARK3	ACTR2
MARK4	ACTR2
MAST3	ACTR2
MAST4	ACTR2
MASTL	ACTR2
MELK	ACTR2
MET	ACTR2
MISR2	ACTR2
MLKL	ACTR2
MOK	ACTR2
MST4	ACTR2
MUSK	ACTR2
MYT1	ACTR2
NEK1	ACTR2
NEK2	ACTR2
NEK4	ACTR2
NEK7	ACTR2
NEK9	ACTR2
NLK	ACTR2
NME1	ACTR2
NME2	ACTR2
NRBP1	ACTR2
NRK	ACTR2
NUAK1	ACTR2
OSR1	ACTR2
PAK1	ACTR2
PAK2	ACTR2
PAK3	ACTR2
PAK4	ACTR2
PAK6	ACTR2
PASK	ACTR2
PBK	ACTR2
PDGFRA	ACTR2
PDGFRB	ACTR2
PDK1	ACTR2
PIK3CA	ACTR2
PIK3CB	ACTR2
PIK3CD	ACTR2
PIK3CG	ACTR2
PIK3R4	ACTR2
PIKFYVE	ACTR2
PIM1	ACTR2
PIM2	ACTR2
PINK1	ACTR2
PKD2	ACTR2
PKN1	ACTR2
PKN2	ACTR2
PKN3	ACTR2
PLK1	ACTR2
PLK2	ACTR2
PLK4	ACTR2
PRKAB1	ACTR2
PRKX	ACTR2
PRKY	ACTR2
RAF1	ACTR2
RET	ACTR2
RIOK1	ACTR2
RIOK2	ACTR2
RIOK3	ACTR2
RIPK1	ACTR2
RIPK2	ACTR2
RIPK3	ACTR2
RNASEL	ACTR2
ROCK1	ACTR2
ROCK2	ACTR2
ROR1	ACTR2
RYK	ACTR2
SCYL1	ACTR2
SCYL2	ACTR2
SCYL3	ACTR2
SGK1	ACTR2
SGK3	ACTR2
SLK	ACTR2
SMG1	ACTR2
SNRK	ACTR2
SRC	ACTR2
SRM	ACTR2
SRPK1	ACTR2
SRPK2	ACTR2
SYK	ACTR2
TAF1	ACTR2
TBK1	ACTR2
TEC	ACTR2
TESK1	ACTR2
TESK2	ACTR2
TGFBR1	ACTR2
TGFBR2	ACTR2
TGM2	ACTR2
TIE1	ACTR2
TLK1	ACTR2
TLK2	ACTR2
TNIK	ACTR2
TNK1	ACTR2
TRIO	ACTR2
TRRAP	ACTR2
TTBK2	ACTR2
TTK	ACTR2
TXK	ACTR2
TYRO3	ACTR2
ULK1	ACTR2
ULK2	ACTR2
VRK1	ACTR2
VRK2	ACTR2
VRK3	ACTR2
WEE1	ACTR2
WNK1	ACTR2
WNK3	ACTR2
ZAK	ACTR2
ZAP70	ACTR2
ACTR2	ACTR2B
ALK1	ACTR2B
ALK2	ACTR2B
ALK4	ACTR2B
ALK7	ACTR2B
